title	comment	bias	hate
"밤새 조문 행렬…故 전미선, 동료들이 그리워하는 따뜻한 배우 [종합]"	(현재 호텔주인 심정) 아18 난 마른하늘에 날벼락맞고 호텔망하게생겼는데 누군 계속 추모받네....	others	hate
"'연중' 故 전미선, 생전 마지막 미공개 인터뷰…환하게 웃는 모습 '먹먹'[종합]"	....한국적인 미인의 대표적인 분...너무나 곱고아름다운모습...그모습뒤의 슬픔을 미처 알지못했네요ㅠ	none	none
"[단독] 잔나비, 라디오 출연 취소→'한밤' 방송 연기..비판 여론 ing(종합)"	...못된 넘들...남의 고통을 즐겼던 넘들..이젠 마땅한 처벌을 받아야지..,그래야, 공정한 사회지...심은대로 거두거라...	none	hate
"'아스달 연대기' 장동건-김옥빈, 들끓는 '욕망커플'→눈물범벅 '칼끝 대립'"	1,2화 어설펐는데 3,4화 지나서부터는 갈수록 너무 재밌던데	none	none
[DA:이슈] ‘구하라 비보’ 최종범 항소심에 영향?…법조계 “‘공소권 없음’ 아냐”	1. 사람 얼굴 손톱으로 긁은것은 인격살해이고2. 동영상이 몰카냐? 메걸리안들 생각이 없노	gender	hate
"[공식입장] '1박2일' 측 ""정준영 출연 중단 결정…심각성 고려"""	10+8 진짜 이승기랑 비교된다	none	none
"배우 마크 월버그, 성차별 논란에 출연료 16억원 전액 기부"	100년안에 남녀간 성전쟁 한번 크게 치룬 후 일부다처제, 여성의 정치참여 금지, 여성 투표권 삭제가 세계의 공통문화로 자리잡을듯. 암탉이 너무 울어댐.	gender	hate
"[Oh!쎈 초점] ""정우성 공개 저격"" 윤서인, 이쯤 되면 정우성 안티?"	10년뒤 윤서인은 분명히 재평가될것임. 말하나하나가 틀린게없음	none	none
"""故설리 부재 하에 지속 어려워""…'악플의밤' 측이 폐지를 결정한 이유 [종합]"	10년만에 재미를 느끼는 프로였는데왜 니들때문에 폐지를해야되냐	none	offensive
"""'프듀2' 출신 합류"" 느와르 ""롤모델 방탄소년단""(종합)"	10년차방탄팬인데 우리방탄처럼 성공은못하겠지만 일단 방탄의 부하가되고싶다는거니 이름기억은해둠ㅇㅇ	none	offensive
"이지훈, '99억의 여자' 출연…오나라와 부부 호흡[공식]"	10살 차이가 넘을텐데 부부라고? 무슨 내용인지 긍금하네..	others	none
"김건모 결혼 내년 5월로 연기…""보다 많은 분 초청"""	12월이나 1월이더 결혼성수기지 5월은 여름이라 비수기에속한다	none	none
"[종합]'두산家 며느리' 조수애, 결혼→1000만원 부케→임신→출산…핫이슈ing"	13살 차이면 요즘 세상에 놀랄일도 아니네요	none	none
"[룩@차이나] 판빙빙, 급격히 살빠져…대만 의사에 SOS"	1400억 뜯기고 얼마나 억울 했을꼬 뒤질만큼 아플만 하지~~~~ㅋㅋㅋㅋ	none	offensive
"이병헌♥이민정, 4살 아들과 LA 미국 여행 '이병헌…디즈니랜드서 유모차 끌어'"	15년생인 울아들은 유모차 안타는데	none	none
'연중' 이혜성이 밝힌 ♥전현무의 모든 것 #공개열애 #반전매력 [전일야화]	15살차이면 어릴때사고쳤으면 딸벌인데 ㅋㅋ 능력좋네 전현무 여자들이 전현무스타일이 좋은가봐	others	offensive
"""90kg 인증""..몸무게 공개→실검 1위 찍은 女연예인[Oh!쎈 탐구]"	166에 57.4 다이어트 필요없지만건강위해더뺄거야다들 더마르게봄	none	none
"[DA:차이나] 이종성, 2번의 이혼 끝에…27세 연하와 세번째 결혼"	17년도 아니고 27년이면 진짜 너무했다 이것이 사랑만으로 가능할수 있는지 도저히 납득이 가질 않는다	others	none
"“키 182cm, 농구선수 제의”..‘컬투쇼’ 권상우, 바둑빼고 다 잘하네(종합)"	180넘어갈정도의 기럭지는 아님78에서79180넘는애들은 의심.의구심을 안하고안듬그래도 비율좋아 커보이긴함	none	none
"'라스' 남주혁 ""중학교때 이미 184cm, 2년만에 키 30cm 폭풍 성장"""	180이하 호빗 한남들은 결혼 하지마셈 ㅋ 돈없으면 연애도 하지마셈 ㅋ 니들 호빗 유전자 받아서 고통받을 네 후손은 뭔죄임?	gender	hate
"[DAY컷] ‘SKY캐슬’ 조미녀 “케이 男 아닌 女, 캐릭터 위해 18kg 증량” (전문)"	18키로감량을해야박수쳐주지 그냥 먹고싶은거다먹고디비져자고하면 18키로는그냥쪄	none	hate
"'할리우드 1세대' 오순택 별세…""편히 잠드소서"" 추모 물결 [종합]"	1959년 자유당 시절에 하버드 로스쿨에 입학하셨다가 할리우드로 진출하셨어요? 대단하신 분이셨군요.	none	none
[단독] ‘SNL 코리아’ 공식적인 폐지 확정…아름다운 종료	19에서15로 바뀌고 망트리 탄거...	none	none
[단독]클라라가 밝힌 #남편#신혼집#연예활동(인터뷰)	1년연예 ㅋㅋ 2년봅니다....	none	offensive
"[전문] 정진운♥경리 열애 인정 “2년째 열애 맞다, 따뜻한 시선 부탁” (공식입장)"	1년전인가 둘이 연남동 술집에서 술마시는거 봤는데 이제야 기사뜨는구나	none	none
"'방송하차' 차태현・김준호, 팬들이 ""이멤버, 리멤버"" 외치는 이유(종합)[Oh!쎈 레터]"	1박2일 재미없고 이제 부도덕한것만 생각나요. 폐지하세요 학부모입장에서폐지비랍니다	none	none
[종합]'신과함께2' 14일만에 1천만명↑...최초 쌍천만 시리즈	1보다 재미없어요 진짜 보다 나올뻔	none	offensive
'나혼자 산다' 金 독보적 1위…화사→전현무·이시언·기안84 '웃음 폭탄'	1부는 눈 썩는 거 같아서 2부만 봤다 졸라 웃기더만 ㅋㅋ	none	none
"송가인, 행사비 ‘껑충’…축제 관계자 “너무 비싸”"	1억도 안아깝다 ☝️☝️☝️☝️☝️☝️☝️	none	none
